"STATENAME","COUNTYNAME","GEOID","MEDHHINCOME"
"Maryland","Baltimore County","24005",78724
"Maryland","Calvert County","24009",112696
"Maryland","Caroline County","24011",59042
"Maryland","Carroll County","24013",99569
"Maryland","Cecil County","24015",79415
"Maryland","Charles County","24017",103678
"Maryland","Dorchester County","24019",52799
"Maryland","Frederick County","24021",100685
"Maryland","Garrett County","24023",54542
"Maryland","Harford County","24025",94003
"Maryland","Howard County","24027",124042
"Maryland","Kent County","24029",60208
"Maryland","Montgomery County","24031",111812
"Maryland","Prince George's County","24033",86994
"Maryland","Queen Anne's County","24035",96467
"Maryland","Somerset County","24039",44980
"Maryland","St. Mary's County","24037",95864
"Maryland","Talbot County","24041",73102
"Maryland","Washington County","24043",63510
"Maryland","Wicomico County","24045",60366
"Maryland","Worcester County","24047",65396
"Massachusetts","Barnstable County","25001",76863
"Massachusetts","Berkshire County","25003",62166
"Massachusetts","Bristol County","25005",71450
"Massachusetts","Dukes County","25007",77318
"Massachusetts","Essex County","25009",82225
"Massachusetts","Franklin County","25011",61198
"Massachusetts","Hampden County","25013",57623
"Massachusetts","Hampshire County","25015",73518
"Massachusetts","Middlesex County","25017",106202
"Massachusetts","Nantucket County","25019",112306
"Massachusetts","Norfolk County","25021",105320
"Massachusetts","Plymouth County","25023",92906
"Massachusetts","Suffolk County","25025",74881
"Massachusetts","Worcester County","25027",77155
"Michigan","Alcona County","26001",43341
"Michigan","Alger County","26003",45184
"Michigan","Allegan County","26005",65071
"Michigan","Alpena County","26007",42603
"Michigan","Antrim County","26009",57256
"Michigan","Arenac County","26011",45679
"Michigan","Baraga County","26013",46581
"Michigan","Barry County","26015",65557
"Michigan","Bay County","26017",48290
"Michigan","Benzie County","26019",64257
"Michigan","Berrien County","26021",52500
"Michigan","Branch County","26023",52782
"Michigan","Calhoun County","26025",50219
"Michigan","Cass County","26027",57514
"Michigan","Charlevoix County","26029",60433
"Michigan","Cheboygan County","26031",49624
"Michigan","Chippewa County","26033",50454
"Michigan","Clare County","26035",41163
"Michigan","Clinton County","26037",72490
"Michigan","Crawford County","26039",49987
"Michigan","Delta County","26041",47008
"Michigan","Dickinson County","26043",51704
"Michigan","Eaton County","26045",67440
"Michigan","Emmet County","26047",55947
"Michigan","Genesee County","26049",50269
"Michigan","Gladwin County","26051",45957
"Michigan","Gogebic County","26053",38625
"Michigan","Grand Traverse County","26055",66457
"Michigan","Gratiot County","26057",49795
"Michigan","Hillsdale County","26059",51535
"Michigan","Houghton County","26061",44839
"Michigan","Huron County","26063",49541
"Michigan","Ingham County","26065",55253
"Michigan","Ionia County","26067",60139
"Michigan","Iosco County","26069",42628
"Michigan","Iron County","26071",44183
"Michigan","Isabella County","26073",46783
"Michigan","Jackson County","26075",54511
"Michigan","Kalamazoo County","26077",58836
"Michigan","Kalkaska County","26079",49402
"Michigan","Kent County","26081",65722
"Michigan","Keweenaw County","26083",51750
"Michigan","Lake County","26085",38356
"Michigan","Lapeer County","26087",65197
"Michigan","Leelanau County","26089",67330
"Michigan","Lenawee County","26091",57314
"Michigan","Livingston County","26093",84274
"Michigan","Luce County","26095",50000
"Michigan","Mackinac County","26097",50058
"Michigan","Macomb County","26099",64641
"Michigan","Manistee County","26101",51658
"Michigan","Marquette County","26103",54585
"Michigan","Mason County","26105",51568
"Michigan","Mecosta County","26107",45797
"Michigan","Menominee County","26109",48548
"Michigan","Midland County","26111",64078
"Michigan","Missaukee County","26113",47370
"Michigan","Monroe County","26115",65453
"Michigan","Montcalm County","26117",52390
"Michigan","Montmorency County","26119",42160
"Michigan","Muskegon County","26121",53478
"Michigan","Newaygo County","26123",51470
"Michigan","Oakland County","26125",81587
"Michigan","Oceana County","26127",51161
"Michigan","Ogemaw County","26129",41752
"Michigan","Ontonagon County","26131",41776
"Michigan","Osceola County","26133",46969
"Michigan","Oscoda County","26135",43457
"Michigan","Otsego County","26137",55917
"Michigan","Ottawa County","26139",72418
"Michigan","Presque Isle County","26141",48734
"Michigan","Roscommon County","26143",41828
"Michigan","Saginaw County","26145",49565
"Michigan","Sanilac County","26151",49852
"Michigan","Schoolcraft County","26153",48443
"Michigan","Shiawassee County","26155",56436
"Michigan","St. Clair County","26147",58722
"Michigan","St. Joseph County","26149",53253
"Michigan","Tuscola County","26157",51891
"Michigan","Van Buren County","26159",56652
"Michigan","Washtenaw County","26161",75730
"Michigan","Wayne County","26163",49359
"Michigan","Wexford County","26165",50335
"Minnesota","Aitkin County","27001",49086
"Minnesota","Anoka County","27003",84379
"Minnesota","Becker County","27005",60508
"Minnesota","Beltrami County","27007",50525
"Minnesota","Benton County","27009",60564
"Minnesota","Big Stone County","27011",55909
"Minnesota","Blue Earth County","27013",61058
"Minnesota","Brown County","27015",59804
"Minnesota","Carlton County","27017",66201
"Minnesota","Carver County","27019",104011
"Minnesota","Cass County","27021",53845
"Minnesota","Chippewa County","27023",57301
"Minnesota","Chisago County","27025",86900
"Minnesota","Clay County","27027",66069
"Minnesota","Clearwater County","27029",51742
"Minnesota","Cook County","27031",59537
"Minnesota","Cottonwood County","27033",51067
"Minnesota","Crow Wing County","27035",57779
"Minnesota","Dakota County","27037",88468
"Minnesota","Dodge County","27039",79020
"Minnesota","Douglas County","27041",65430
"Minnesota","Faribault County","27043",53963
"Minnesota","Fillmore County","27045",64375
"Minnesota","Freeborn County","27047",54628
"Minnesota","Goodhue County","27049",69334
"Minnesota","Grant County","27051",59246
"Minnesota","Hennepin County","27053",81169
"Minnesota","Houston County","27055",59514
"Minnesota","Hubbard County","27057",58475
"Minnesota","Isanti County","27059",76999
"Minnesota","Itasca County","27061",55744
"Minnesota","Jackson County","27063",62479
"Minnesota","Kanabec County","27065",57877
"Minnesota","Kandiyohi County","27067",64252
"Minnesota","Kittson County","27069",55410
"Minnesota","Koochiching County","27071",52297
"Minnesota","Lac qui Parle County","27073",57802
"Minnesota","Lake County","27075",65201
"Minnesota","Lake of the Woods County","27077",50669
"Minnesota","Le Sueur County","27079",75925
"Minnesota","Lincoln County","27081",53557
"Minnesota","Lyon County","27083",57274
"Minnesota","Mahnomen County","27087",45398
"Minnesota","Marshall County","27089",60951
"Minnesota","Martin County","27091",53851
"Minnesota","McLeod County","27085",62885
"Minnesota","Meeker County","27093",63841
"Minnesota","Mille Lacs County","27095",57173
"Minnesota","Morrison County","27097",58826
"Minnesota","Mower County","27099",55378
"Minnesota","Murray County","27101",62839
"Minnesota","Nicollet County","27103",69174
"Minnesota","Nobles County","27105",56000
"Minnesota","Norman County","27107",56081
"Minnesota","Olmsted County","27109",80403
"Minnesota","Otter Tail County","27111",59456
"Minnesota","Pennington County","27113",60940
"Minnesota","Pine County","27115",55606
"Minnesota","Pipestone County","27117",53688
"Minnesota","Polk County","27119",58682
"Minnesota","Pope County","27121",62878
"Minnesota","Ramsey County","27123",67238
"Minnesota","Red Lake County","27125",59698
"Minnesota","Redwood County","27127",57243
"Minnesota","Renville County","27129",58542
"Minnesota","Rice County","27131",70600
"Minnesota","Rock County","27133",65744
"Minnesota","Roseau County","27135",62304
"Minnesota","Scott County","27139",103261
"Minnesota","Sherburne County","27141",88671
"Minnesota","Sibley County","27143",64170
"Minnesota","St. Louis County","27137",57480
"Minnesota","Stearns County","27145",65244
"Minnesota","Steele County","27147",68172
"Minnesota","Stevens County","27149",65503
"Minnesota","Swift County","27151",53457
"Minnesota","Todd County","27153",54502
"Minnesota","Traverse County","27155",51216
"Minnesota","Wabasha County","27157",67906
"Minnesota","Wadena County","27159",46178
"Minnesota","Waseca County","27161",60450
"Minnesota","Washington County","27163",97584
"Minnesota","Watonwan County","27165",53304
"Minnesota","Wilkin County","27167",56829
"Minnesota","Winona County","27169",60020
"Minnesota","Wright County","27171",87772
"Minnesota","Yellow Medicine County","27173",59289
"Mississippi","Adams County","28001",30633
"Mississippi","Alcorn County","28003",40938
"Mississippi","Amite County","28005",30805
"Mississippi","Attala County","28007",35631
"Mississippi","Benton County","28009",39758
"Mississippi","Bolivar County","28011",32412
"Mississippi","Calhoun County","28013",40345
"Mississippi","Carroll County","28015",46729
"Mississippi","Chickasaw County","28017",35592
"Mississippi","Choctaw County","28019",36648
"Mississippi","Claiborne County","28021",32268
"Mississippi","Clarke County","28023",38631
"Mississippi","Clay County","28025",33209
"Mississippi","Coahoma County","28027",30761
"Mississippi","Copiah County","28029",44252
"Mississippi","Covington County","28031",32917
"Mississippi","DeSoto County","28033",69990
"Mississippi","Forrest County","28035",42298
"Mississippi","Franklin County","28037",39066
"Mississippi","George County","28039",47044
"Mississippi","Greene County","28041",47033
"Mississippi","Grenada County","28043",39952
"Mississippi","Hancock County","28045",54860
"Mississippi","Harrison County","28047",48547
"Mississippi","Hinds County","28049",45380
"Mississippi","Holmes County","28051",24074
"Mississippi","Humphreys County","28053",28628
"Mississippi","Issaquena County","28055",28333
"Mississippi","Itawamba County","28057",47649
"Mississippi","Jackson County","28059",53726
"Mississippi","Jasper County","28061",37877
"Mississippi","Jefferson County","28063",29524
"Mississippi","Jefferson Davis County","28065",32214
"Mississippi","Jones County","28067",43391
"Mississippi","Kemper County","28069",30735
"Mississippi","Lafayette County","28071",53318
"Mississippi","Lamar County","28073",61649
"Mississippi","Lauderdale County","28075",42922
"Mississippi","Lawrence County","28077",36239
"Mississippi","Leake County","28079",36708
"Mississippi","Lee County","28081",55861
"Mississippi","Leflore County","28083",30077
"Mississippi","Lincoln County","28085",41355
"Mississippi","Lowndes County","28087",48170
"Mississippi","Madison County","28089",71621
"Mississippi","Marion County","28091",31629
"Mississippi","Marshall County","28093",43411
"Mississippi","Monroe County","28095",45018
"Mississippi","Montgomery County","28097",38022
"Mississippi","Neshoba County","28099",40750
"Mississippi","Newton County","28101",42176
"Mississippi","Noxubee County","28103",36958
"Mississippi","Oktibbeha County","28105",39490
"Mississippi","Panola County","28107",37232
"Mississippi","Pearl River County","28109",51538
"Mississippi","Perry County","28111",47173
"Mississippi","Pike County","28113",32726
"Mississippi","Pontotoc County","28115",48980
"Mississippi","Prentiss County","28117",40163
"Mississippi","Quitman County","28119",24233
"Mississippi","Rankin County","28121",68310
"Mississippi","Scott County","28123",39971
"Mississippi","Sharkey County","28125",35711
"Mississippi","Simpson County","28127",43403
"Mississippi","Smith County","28129",44714
"Mississippi","Stone County","28131",47683
"Mississippi","Sunflower County","28133",31515
"Mississippi","Tallahatchie County","28135",30433
"Mississippi","Tate County","28137",55738
"Mississippi","Tippah County","28139",37894
"Mississippi","Tishomingo County","28141",38302
"Mississippi","Tunica County","28143",34485
"Mississippi","Union County","28145",47317
"Mississippi","Walthall County","28147",33566
"Mississippi","Warren County","28149",46909
"Mississippi","Washington County","28151",32011
"Mississippi","Wayne County","28153",33612
"Mississippi","Webster County","28155",52382
"Mississippi","Wilkinson County","28157",30760
"Mississippi","Winston County","28159",38986
"Mississippi","Yalobusha County","28161",41440
"Mississippi","Yazoo County","28163",32729
"Missouri","Adair County","29001",42301
"Missouri","Andrew County","29003",58911
"Missouri","Atchison County","29005",51625
"Missouri","Audrain County","29007",44699
"Missouri","Barry County","29009",45811
"Missouri","Barton County","29011",44510
"Missouri","Bates County","29013",46733
"Missouri","Benton County","29015",41751
"Missouri","Bollinger County","29017",45140
"Missouri","Boone County","29019",58740
"Missouri","Buchanan County","29021",51933
"Missouri","Butler County","29023",42227
"Missouri","Caldwell County","29025",51451
"Missouri","Callaway County","29027",59835
"Missouri","Camden County","29029",53520
"Missouri","Cape Girardeau County","29031",53776
"Missouri","Carroll County","29033",51414
"Missouri","Carter County","29035",42403
"Missouri","Cass County","29037",72522
"Missouri","Cedar County","29039",39408
"Missouri","Chariton County","29041",51545
"Missouri","Christian County","29043",64442
"Missouri","Clark County","29045",45842
"Missouri","Clay County","29047",72047
"Missouri","Clinton County","29049",62213
"Missouri","Cole County","29051",61184
"Missouri","Cooper County","29053",53003
"Missouri","Crawford County","29055",44380
"Missouri","Dade County","29057",42117
"Missouri","Dallas County","29059",40404
"Missouri","Daviess County","29061",52143
"Missouri","DeKalb County","29063",58433
"Missouri","Dent County","29065",42714
"Missouri","Douglas County","29067",43714
"Missouri","Dunklin County","29069",38020
"Missouri","Franklin County","29071",60129
"Missouri","Gasconade County","29073",56380
"Missouri","Gentry County","29075",46774
"Missouri","Greene County","29077",47053
"Missouri","Grundy County","29079",46885
"Missouri","Harrison County","29081",40615
"Missouri","Henry County","29083",47500
"Missouri","Hickory County","29085",33342
"Missouri","Holt County","29087",46442
"Missouri","Howard County","29089",55000
"Missouri","Howell County","29091",39482
"Missouri","Iron County","29093",40082
"Missouri","Jackson County","29095",56960
"Missouri","Jasper County","29097",49155
"Missouri","Jefferson County","29099",67606
"Missouri","Johnson County","29101",56440
"Missouri","Knox County","29103",37588
"Missouri","Laclede County","29105",46582
"Missouri","Lafayette County","29107",62076
"Missouri","Lawrence County","29109",44060
"Missouri","Lewis County","29111",45118
"Missouri","Lincoln County","29113",70424
"Missouri","Linn County","29115",51150
"Missouri","Livingston County","29117",50818
"Missouri","Macon County","29121",44696
"Missouri","Madison County","29123",47984
"Missouri","Maries County","29125",48276
"Missouri","Marion County","29127",54277
"Missouri","McDonald County","29119",42876
"Missouri","Mercer County","29129",50030
"Missouri","Miller County","29131",47964
"Missouri","Mississippi County","29133",34354
"Missouri","Moniteau County","29135",57012
"Missouri","Monroe County","29137",43422
"Missouri","Montgomery County","29139",52123
"Missouri","Morgan County","29141",41477
"Missouri","New Madrid County","29143",40129
"Missouri","Newton County","29145",52067
"Missouri","Nodaway County","29147",46303
"Missouri","Oregon County","29149",32766
"Missouri","Osage County","29151",62087
"Missouri","Ozark County","29153",33046
"Missouri","Pemiscot County","29155",34709
"Missouri","Perry County","29157",56861
"Missouri","Pettis County","29159",49315
"Missouri","Phelps County","29161",44987
"Missouri","Pike County","29163",44920
"Missouri","Platte County","29165",82448
"Missouri","Polk County","29167",47614
"Missouri","Pulaski County","29169",58426
"Missouri","Putnam County","29171",48833
"Missouri","Ralls County","29173",54194
"Missouri","Randolph County","29175",50440
"Missouri","Ray County","29177",65303
"Missouri","Reynolds County","29179",39552
"Missouri","Ripley County","29181",36066
"Missouri","Saline County","29195",47585
"Missouri","Schuyler County","29197",44420
"Missouri","Scotland County","29199",47708
"Missouri","Scott County","29201",46310
"Missouri","Shannon County","29203",36229
"Missouri","Shelby County","29205",43809
"Missouri","St. Charles County","29183",87644
"Missouri","St. Clair County","29185",39000
"Missouri","St. Francois County","29187",46307
"Missouri","St. Louis city","29510",45782
"Missouri","St. Louis County","29189",68661
"Missouri","Ste. Genevieve County","29186",61746
"Missouri","Stoddard County","29207",42761
"Missouri","Stone County","29209",51476
"Missouri","Sullivan County","29211",44056
"Missouri","Taney County","29213",47860
"Missouri","Texas County","29215",35758
"Missouri","Vernon County","29217",43910
"Missouri","Warren County","29219",64735
"Missouri","Washington County","29221",42849
"Missouri","Wayne County","29223",38018
"Missouri","Webster County","29225",55827
"Missouri","Worth County","29227",47500
"Missouri","Wright County","29229",36711
"Montana","Beaverhead County","30001",45819
"Montana","Big Horn County","30003",48273
"Montana","Blaine County","30005",45361
"Montana","Broadwater County","30007",57723
"Montana","Carbon County","30009",61209
"Montana","Carter County","30011",42300
"Montana","Cascade County","30013",52049
"Montana","Chouteau County","30015",45707
"Montana","Custer County","30017",54891
"Montana","Daniels County","30019",56026
"Montana","Dawson County","30021",51681
"Montana","Deer Lodge County","30023",42129
"Montana","Fallon County","30025",69792
"Montana","Fergus County","30027",47618
"Montana","Flathead County","30029",57763
"Montana","Gallatin County","30031",70124
"Montana","Garfield County","30033",43750
"Montana","Glacier County","30035",37645
"Montana","Golden Valley County","30037",49028
"Montana","Granite County","30039",50795
"Montana","Hill County","30041",50912
"Montana","Jefferson County","30043",71779
"Montana","Judith Basin County","30045",50329
"Montana","Lake County","30047",52169
"Montana","Lewis and Clark County","30049",66062
"Montana","Liberty County","30051",46750
"Montana","Lincoln County","30053",39820
"Montana","Madison County","30057",55892
"Montana","McCone County","30055",57045
"Montana","Meagher County","30059",46815
"Montana","Mineral County","30061",48672
"Montana","Missoula County","30063",56247
"Montana","Musselshell County","30065",46328
"Montana","Park County","30067",53082
"Montana","Petroleum County","30069",40000
"Montana","Phillips County","30071",46686
"Montana","Pondera County","30073",54235
"Montana","Powder River County","30075",57755
"Montana","Powell County","30077",50332
"Montana","Prairie County","30079",42350
"Montana","Ravalli County","30081",55090
"Montana","Richland County","30083",64158
"Montana","Roosevelt County","30085",45458
"Montana","Rosebud County","30087",57769
"Montana","Sanders County","30089",42284
"Montana","Sheridan County","30091",54135
"Montana","Silver Bow County","30093",49359
"Montana","Stillwater County","30095",67448
"Montana","Sweet Grass County","30097",53790
"Montana","Teton County","30099",56649
"Montana","Toole County","30101",49725
"Montana","Treasure County","30103",44671
"Montana","Valley County","30105",51087
"Montana","Wheatland County","30107",35265
"Montana","Wibaux County","30109",50972
"Montana","Yellowstone County","30111",62630
"Nebraska","Adams County","31001",56007
"Nebraska","Antelope County","31003",52569
"Nebraska","Arthur County","31005",48500
"Nebraska","Banner County","31007",53864
"Nebraska","Blaine County","31009",55268
"Nebraska","Boone County","31011",60094
"Nebraska","Box Butte County","31013",61904
"Nebraska","Boyd County","31015",53846
"Nebraska","Brown County","31017",41979
"Nebraska","Buffalo County","31019",63513
"Nebraska","Burt County","31021",51961
"Nebraska","Butler County","31023",59232
"Nebraska","Cass County","31025",73683
"Nebraska","Cedar County","31027",64703
"Nebraska","Chase County","31029",56135
"Nebraska","Cherry County","31031",55431
"Nebraska","Cheyenne County","31033",52270
"Nebraska","Clay County","31035",63686
"Nebraska","Colfax County","31037",64269
"Nebraska","Cuming County","31039",59202
"Nebraska","Custer County","31041",53891
"Nebraska","Dakota County","31043",61227
"Nebraska","Dawes County","31045",49379
"Nebraska","Dawson County","31047",56731
"Nebraska","Deuel County","31049",48958
"Nebraska","Dixon County","31051",57243
"Nebraska","Dodge County","31053",58439
"Nebraska","Douglas County","31055",66600
"Nebraska","Dundy County","31057",49211
"Nebraska","Fillmore County","31059",62151
"Nebraska","Franklin County","31061",50231
"Nebraska","Frontier County","31063",59250
"Nebraska","Furnas County","31065",53533
"Nebraska","Gage County","31067",51812
"Nebraska","Garden County","31069",42076
"Nebraska","Garfield County","31071",54659
"Nebraska","Gosper County","31073",65086
"Nebraska","Grant County","31075",43625
"Nebraska","Greeley County","31077",46830
"Nebraska","Hall County","31079",58595
"Nebraska","Hamilton County","31081",68649
"Nebraska","Harlan County","31083",51534
"Nebraska","Hayes County","31085",52396
"Nebraska","Hitchcock County","31087",46000
"Nebraska","Holt County","31089",60214
"Nebraska","Hooker County","31091",48654
"Nebraska","Howard County","31093",59432
"Nebraska","Jefferson County","31095",48981
"Nebraska","Johnson County","31097",49382
"Nebraska","Kearney County","31099",62899
"Nebraska","Keith County","31101",52169
"Nebraska","Keya Paha County","31103",55250
"Nebraska","Kimball County","31105",48056
"Nebraska","Knox County","31107",53653
"Nebraska","Lancaster County","31109",62464
"Nebraska","Lincoln County","31111",59995
"Nebraska","Logan County","31113",45990
"Nebraska","Loup County","31115",46111
"Nebraska","Madison County","31119",52334
"Nebraska","McPherson County","31117",51932
"Nebraska","Merrick County","31121",52254
"Nebraska","Morrill County","31123",46903
"Nebraska","Nance County","31125",53147
"Nebraska","Nemaha County","31127",50236
"Nebraska","Nuckolls County","31129",52975
"Nebraska","Otoe County","31131",64755
"Nebraska","Pawnee County","31133",46063
"Nebraska","Perkins County","31135",61389
"Nebraska","Phelps County","31137",58105
"Nebraska","Pierce County","31139",57629
"Nebraska","Platte County","31141",60878
"Nebraska","Polk County","31143",59837
"Nebraska","Red Willow County","31145",48140
"Nebraska","Richardson County","31147",44524
"Nebraska","Rock County","31149",51458
"Nebraska","Saline County","31151",52956
"Nebraska","Sarpy County","31153",83051
"Nebraska","Saunders County","31155",70414
"Nebraska","Scotts Bluff County","31157",53433
"Nebraska","Seward County","31159",71111
"Nebraska","Sheridan County","31161",45543
"Nebraska","Sherman County","31163",53158
"Nebraska","Sioux County","31165",47422
"Nebraska","Stanton County","31167",64808
"Nebraska","Thayer County","31169",53234
"Nebraska","Thomas County","31171",59000
"Nebraska","Thurston County","31173",55574
"Nebraska","Valley County","31175",56205
"Nebraska","Washington County","31177",71505
"Nebraska","Wayne County","31179",58894
"Nebraska","Webster County","31181",51684
"Nebraska","Wheeler County","31183",48438
"Nebraska","York County","31185",63105
"Nevada","Carson City","32510",58305
"Nevada","Churchill County","32001",56335
"Nevada","Clark County","32003",61048
"Nevada","Douglas County","32005",71415
"Nevada","Elko County","32007",79375
"Nevada","Esmeralda County","32009",31845
"Nevada","Eureka County","32011",67478
"Nevada","Humboldt County","32013",66123
"Nevada","Lander County","32015",73797
"Nevada","Lincoln County","32017",56537
"Nevada","Lyon County","32019",58814
"Nevada","Mineral County","32021",31500
"Nevada","Nye County","32023",47308
"Nevada","Pershing County","32027",57074
"Nevada","Storey County","32029",64000
"Nevada","Washoe County","32031",68272
"Nevada","White Pine County","32033",57353
"New Hampshire","Belknap County","33001",67328
"New Hampshire","Carroll County","33003",66932
"New Hampshire","Cheshire County","33005",64686
"New Hampshire","Coos County","33007",48945
"New Hampshire","Grafton County","33009",67476
"New Hampshire","Hillsborough County","33011",82099
"New Hampshire","Merrimack County","33013",77937
"New Hampshire","Rockingham County","33015",93962
"New Hampshire","Strafford County","33017",72682
"New Hampshire","Sullivan County","33019",63760
"New Jersey","Atlantic County","34001",63680
"New Jersey","Bergen County","34003",104623
"New Jersey","Burlington County","34005",90329
"New Jersey","Camden County","34007",70957
"New Jersey","Cape May County","34009",72385
"New Jersey","Cumberland County","34011",55709
"New Jersey","Essex County","34013",63959
"New Jersey","Gloucester County","34015",89056
"New Jersey","Hudson County","34017",75062
"New Jersey","Hunterdon County","34019",117858
"New Jersey","Mercer County","34021",83306
"New Jersey","Middlesex County","34023",91731
"New Jersey","Monmouth County","34025",103523
"New Jersey","Morris County","34027",117298
"New Jersey","Ocean County","34029",72679
"New Jersey","Passaic County","34031",73562
"New Jersey","Salem County","34033",64234
"New Jersey","Somerset County","34035",116510
"New Jersey","Sussex County","34037",96222
"New Jersey","Union County","34039",82644
"New Jersey","Warren County","34041",83497
"New Mexico","Bernalillo County","35001",54308
"New Mexico","Catron County","35003",36607
"New Mexico","Chaves County","35005",46254
"New Mexico","Cibola County","35006",44731
"New Mexico","Colfax County","35007",36937
"New Mexico","Curry County","35009",48903
"New Mexico","De Baca County","35011",31532
"New Mexico","Doña Ana County","35013",44024
"New Mexico","Eddy County","35015",65000
"New Mexico","Grant County","35017",37453
"New Mexico","Guadalupe County","35019",31061
"New Mexico","Harding County","35021",32500
"New Mexico","Hidalgo County","35023",44722
"New Mexico","Lea County","35025",61867
"New Mexico","Lincoln County","35027",44939
"New Mexico","Los Alamos County","35028",119266
"New Mexico","Luna County","35029",32251
"New Mexico","McKinley County","35031",36179
"New Mexico","Mora County","35033",29458
"New Mexico","Otero County","35035",45032
"New Mexico","Quay County","35037",33962
"New Mexico","Rio Arriba County","35039",42264
"New Mexico","Roosevelt County","35041",42917
"New Mexico","San Juan County","35045",47643
"New Mexico","San Miguel County","35047",32310
"New Mexico","Sandoval County","35043",65071
"New Mexico","Santa Fe County","35049",60668
"New Mexico","Sierra County","35051",33873
"New Mexico","Socorro County","35053",40297
"New Mexico","Taos County","35055",41973
"New Mexico","Torrance County","35057",38240
"New Mexico","Union County","35059",35484
"New Mexico","Valencia County","35061",50801
"New York","Albany County","36001",68327
"New York","Allegany County","36003",51227
"New York","Bronx County","36005",41895
"New York","Broome County","36007",52237
"New York","Cattaraugus County","36009",50700
"New York","Cayuga County","36011",57985
"New York","Chautauqua County","36013",48315
"New York","Chemung County","36015",54883
"New York","Chenango County","36017",51756
"New York","Clinton County","36019",59510
"New York","Columbia County","36021",68750
"New York","Cortland County","36023",59194
"New York","Delaware County","36025",49945
"New York","Dutchess County","36027",81842
"New York","Erie County","36029",59464
"New York","Essex County","36031",58109
"New York","Franklin County","36033",52905
"New York","Fulton County","36035",51663
"New York","Genesee County","36037",60635
"New York","Greene County","36039",56681
"New York","Hamilton County","36041",60625
"New York","Herkimer County","36043",58438
"New York","Jefferson County","36045",54726
"New York","Kings County","36047",63973
"New York","Lewis County","36049",56192
"New York","Livingston County","36051",60248
"New York","Madison County","36053",61176
"New York","Monroe County","36055",62087
"New York","Montgomery County","36057",50146
"New York","Nassau County","36059",120036
"New York","New York County","36061",89812
"New York","Niagara County","36063",57252
"New York","Oneida County","36065",59113
"New York","Onondaga County","36067",62668
"New York","Ontario County","36069",64795
"New York","Orange County","36071",80816
"New York","Orleans County","36073",52958
"New York","Oswego County","36075",59070
"New York","Otsego County","36077",56171
"New York","Putnam County","36079",107246
"New York","Queens County","36081",72028
"New York","Rensselaer County","36083",72510
"New York","Richmond County","36085",85381
"New York","Rockland County","36087",94840
"New York","Saratoga County","36091",85224
"New York","Schenectady County","36093",66488
"New York","Schoharie County","36095",58926
"New York","Schuyler County","36097",53291
"New York","Seneca County","36099",54865
"New York","St. Lawrence County","36089",52071
"New York","Steuben County","36101",55349
"New York","Suffolk County","36103",105362
"New York","Sullivan County","36105",60433
"New York","Tioga County","36107",61965
"New York","Tompkins County","36109",61361
"New York","Ulster County","36111",65306
"New York","Warren County","36113",64658
"New York","Washington County","36115",59613
"New York","Wayne County","36117",62003
"New York","Westchester County","36119",99489
"New York","Wyoming County","36121",58746
"New York","Yates County","36123",55307
"North Carolina","Alamance County","37001",51580
"North Carolina","Alexander County","37003",51329
"North Carolina","Alleghany County","37005",37158
"North Carolina","Anson County","37007",39799
"North Carolina","Ashe County","37009",43030
"North Carolina","Avery County","37011",42695
"North Carolina","Beaufort County","37013",48051
"North Carolina","Bertie County","37015",35042
"North Carolina","Bladen County","37017",37188
"North Carolina","Brunswick County","37019",59763
"North Carolina","Buncombe County","37021",55032
"North Carolina","Burke County","37023",43915
"North Carolina","Cabarrus County","37025",71177
"North Carolina","Caldwell County","37027",46094
"North Carolina","Camden County","37029",63834
"North Carolina","Carteret County","37031",57871
"North Carolina","Caswell County","37033",47938
"North Carolina","Catawba County","37035",54690
"North Carolina","Chatham County","37037",69799
"North Carolina","Cherokee County","37039",40793
"North Carolina","Chowan County","37041",44050
"North Carolina","Clay County","37043",42160
"North Carolina","Cleveland County","37045",43512
"North Carolina","Columbus County","37047",38487
"North Carolina","Craven County","37049",53894
"North Carolina","Cumberland County","37051",48177
"North Carolina","Currituck County","37053",73741
"North Carolina","Dare County","37055",65420
"North Carolina","Davidson County","37057",50454
"North Carolina","Davie County","37059",62028
"North Carolina","Duplin County","37061",43422
"North Carolina","Durham County","37063",62812
"North Carolina","Edgecombe County","37065",40489
"North Carolina","Forsyth County","37067",53583
"North Carolina","Franklin County","37069",58172
"North Carolina","Gaston County","37071",53474
"North Carolina","Gates County","37073",45871
"North Carolina","Graham County","37075",42207
"North Carolina","Granville County","37077",56924
"North Carolina","Greene County","37079",43563
"North Carolina","Guilford County","37081",54794
"North Carolina","Halifax County","37083",35904
"North Carolina","Harnett County","37085",54565
"North Carolina","Haywood County","37087",51548
"North Carolina","Henderson County","37089",58928
"North Carolina","Hertford County","37091",42588
"North Carolina","Hoke County","37093",51140
"North Carolina","Hyde County","37095",46667
"North Carolina","Iredell County","37097",62551
"North Carolina","Jackson County","37099",46820
"North Carolina","Johnston County","37101",61806
"North Carolina","Jones County","37103",38324
"North Carolina","Lee County","37105",52294
"North Carolina","Lenoir County","37107",39923
"North Carolina","Lincoln County","37109",59592
"North Carolina","Macon County","37113",45703
"North Carolina","Madison County","37115",46190
"North Carolina","Martin County","37117",39909
"North Carolina","McDowell County","37111",47085
"North Carolina","Mecklenburg County","37119",69240
"North Carolina","Mitchell County","37121",48841
